id,var,desc,macro_class
D07,age,"Chronological age of the individual in years.",DEMOGRAPHIC
D07,workclass,"Classification of the subject's employment sector or occupational engagement status.",SOCIOECONOMIC
D07,fnlwgt,"Estimated number of individuals in the target population represented by the sample record.",UNCLASSIFIED
D07,education,"Highest categorical level of educational attainment completed by the individual.",SOCIOECONOMIC
D07,education-num,"Highest educational attainment expressed as total years of formal schooling.",SOCIOECONOMIC
D07,marital-status,"Current marital status classification of the individual.",DEMOGRAPHIC
D07,occupation,"Categorization of the individual's occupation or professional activity.",SOCIOECONOMIC
D07,relationship,"Familial relationship of the individual to the household reference person.",DEMOGRAPHIC
D07,race,"Self-reported race or ethnic category of the individual.",DEMOGRAPHIC
D07,sex,"Biological sex of the individual.",DEMOGRAPHIC
D07,capital-gain,"Monetary gains from investment sources, excluding wage earnings, expressed as a continuous variable.",SOCIOECONOMIC
D07,capital-loss,"Monetary losses from investment sources, expressed as a continuous variable.",SOCIOECONOMIC
D07,hours-per-week,"Average number of hours worked per week.",SOCIOECONOMIC
D07,native-country,"Country of origin or birth of the individual.",ALTERNATIVE
D07,income,"Binary indicator denoting whether annual income exceeds a predefined high-income threshold.",SOCIOECONOMIC
