id,var,desc,macro_class
D04,respondent_id,"Identifier assigned to the reporting financial institution.",UNCLASSIFIED
D04,agency_code,"Code representing the federal agency with supervisory authority over the reporting institution.",UNCLASSIFIED
D04,edit_status,"Flag indicating whether the loan record failed any internal validity or quality edits during data processing.",UNCLASSIFIED
D04,msamd,"Metropolitan Statistical Area (MSA) or Metropolitan Division (MD) where the property securing the loan is located.",ALTERNATIVE
D04,state_code,"Two-digit FIPS code identifying the US state where the property is located.",ALTERNATIVE
D04,county_code,"Three-digit FIPS code identifying the county where the property is located.",ALTERNATIVE
D04,census_tract_number,"Census tract number where the property is located, utilized for evaluating neighborhood-level demographic and economic patterns.",ALTERNATIVE
D04,sequence_number,"Record identifier assigned by the reporting institution.",UNCLASSIFIED
D04,loan_type,"Classification of the loan as conventional or government-backed.",INSTITUTIONAL and FINANCIAL
D04,property_type,"Structural classification of the property securing the loan.",SOCIOECONOMIC
D04,loan_purpose,"Classification of the borrower's primary intent for taking out the loan.","VALUES, ATTITUDES and BEHAVIORAL"
D04,owner_occupancy,"Borrower's intended occupancy status for the property.",SOCIOECONOMIC
D04,loan_amount_000s,"Total loan amount requested or originated, expressed in thousands of dollars.",INSTITUTIONAL and FINANCIAL
D04,preapproval,"Flag indicating whether the applicant requested a formal preapproval assessment prior to property identification.",INSTITUTIONAL and FINANCIAL
D04,action_taken,"Final disposition of the loan application.",INSTITUTIONAL and FINANCIAL
D04,applicant_ethnicity,"Self-reported or observed ethnic background of the primary applicant.",DEMOGRAPHIC
D04,applicant_race,"Self-reported racial category of the primary applicant.",DEMOGRAPHIC
D04,applicant_sex,"Self-reported or observed biological sex of the primary applicant.",DEMOGRAPHIC
D04,applicant_income_000s,"Gross annual income relied upon for creditworthiness evaluation, expressed in thousands of dollars.",SOCIOECONOMIC
D04,purchaser_type,"Type of institutional entity that purchased the loan on the secondary market within the reporting year.",INSTITUTIONAL and FINANCIAL
D04,denial_reason,"Primary factor for denying the loan application.",INSTITUTIONAL and FINANCIAL
D04,hoepa_status,"Flag indicating whether the loan meets high-cost thresholds under the Home Ownership and Equity Protection Act (HOEPA).",INSTITUTIONAL and FINANCIAL
D04,lien_status,"Lien priority status of the loan.",INSTITUTIONAL and FINANCIAL
D04,application_date_indicator,"Flag indicating whether the application was received before or after January 1, 2004.",UNCLASSIFIED
D04,population,"Total estimated population within the property's census tract.",MACROECONOMIC
D04,minority_population,"Percentage of the census tract population identifying as a minority race or ethnicity.",MACROECONOMIC
D04,hud_median_family_income,"Annual median family income for the Metropolitan Statistical Area or division, as estimated by the FFIEC.",MACROECONOMIC
D04,tract_to_msamd_income,"Census tract median family income as a percentage of the MSA/MD median family income.",MACROECONOMIC
D04,number_of_owner_occupied_units,"Count of owner-occupied residential units in the census tract.",MACROECONOMIC
D04,number_of_1_to_4_family_units,"Count of 1-to-4 family residential units in the census tract.",MACROECONOMIC
